hour_of_day,amount,transaction_type,location_region,ip_prefix,login_frequency,session_duration,purchase_pattern,age_group,anomaly
12,796.9492059264745,4,2,192.0,3,48,0,0,1
19,0.01,1,4,172.0,5,61,0,0,1
16,778.197389885983,1,1,192.168,3,74,0,0,1
9,300.8383577068122,4,4,172.0,8,111,1,2,1
14,775.5693437525714,2,0,172.16,6,100,1,2,2
19,590.25398234613,4,0,192.168,4,66,0,0,1
18,671.4962455418183,2,4,192.0,8,103,1,2,1
19,800.2089338363055,2,4,192.0,1,32,2,1,1
15,218.03094416136088,4,4,192.0,4,42,0,0,1
13,134.59537810095418,4,2,172.16,3,79,0,0,1
20,585.3229359466544,2,4,172.0,8,85,1,2,1
15,858.7169292335373,4,2,172.16,5,54,0,0,1
8,765.870505856283,1,3,172.16,4,62,0,0,1
20,792.9881739355139,1,4,192.0,2,38,2,1,1
23,393.4048333242111,2,3,192.0,6,149,1,2,1
13,495.7842645156739,4,4,192.168,8,99,1,2,1
14,625.4025878033489,2,3,172.0,7,142,1,2,1
9,540.5648950902568,2,1,172.16,8,126,1,2,1
1,65.22560004822316,1,4,10.0,4,53,0,0,1
6,230.2143851161547,0,2,10.0,1,25,2,1,0
19,521.6754305436302,2,0,172.0,8,105,1,2,1
9,306.13565066959046,2,0,172.0,6,144,1,2,1
22,362.5265919105845,1,1,172.0,5,49,0,0,1
22,354.00267822920085,2,0,10.0,8,91,1,2,1
7,917.321007016044,4,4,172.16,6,159,1,2,1
5,625.4572454638961,4,4,172.0,4,40,0,0,1
2,851.3210875208952,2,2,172.0,8,92,1,2,2
10,322.86588986263115,2,3,192.168,6,95,1,2,1
2,0.01,2,3,192.0,7,100,1,2,2
14,479.1285262971634,2,4,10.0,6,99,1,2,1
17,404.38113527125097,1,1,172.0,5,50,0,0,1
9,543.577703829605,4,3,172.0,7,95,1,2,1
23,602.2692769616223,2,0,192.168,8,86,1,2,1
14,483.3985841809038,4,3,172.0,3,53,0,0,1
14,487.1421485035594,1,1,192.168,5,74,0,0,1
4,505.8074482952425,2,4,172.0,6,99,1,2,2
9,606.7657246811382,2,4,172.16,1,34,2,1,1
11,235.1039404160946,2,2,172.16,6,82,1,2,1
13,553.7288900997908,2,2,192.0,6,129,1,2,1
0,323.16597289031927,2,1,172.0,8,93,1,2,2
18,590.0158979939504,1,1,192.168,1,31,2,1,1
20,357.4740959462864,1,3,10.0,5,79,0,0,1
8,545.3898997875332,1,3,172.0,5,62,0,0,1
21,11.836976322543194,2,3,10.0,6,127,1,2,1
6,490.912071580041,4,0,10.0,7,151,1,2,1
6,494.9013365203876,1,0,172.16,5,53,0,0,1
17,303.0368058051796,4,1,10.0,3,75,0,0,1
2,468.4786411461688,2,3,10.0,8,100,1,2,2
10,28.234242050624857,4,4,172.0,3,78,0,0,1
0,164.42033074321807,2,3,192.168,2,29,2,1,1
6,181.24801940706817,2,3,172.0,8,83,1,2,2
22,493.8897326786156,1,0,10.0,5,42,0,0,1
11,292.42478523798667,1,4,172.16,3,49,0,0,1
1,386.0620073270538,1,0,192.0,4,73,0,0,1
1,669.5743560933811,2,3,10.0,6,135,1,2,2
4,168.0570462848654,4,3,172.0,1,31,2,1,1
0,268.4257798774461,4,4,192.0,8,140,1,2,1
10,444.4037639406027,4,3,172.0,4,69,0,0,1
4,134.5056715495005,4,4,172.0,5,66,0,0,1
20,512.27631683721,2,2,192.168,2,28,2,1,1
7,395.2097537872541,1,0,192.0,4,72,0,0,1
